player_id,short_name,long_name,fifa_version,club_name,player_positions,overall,pace,shooting,passing,dribbling,defending,physic,season
188545,R. Lewandowski,Robert Lewandowski,24,FC Barcelona,ST,90,75.0,91.0,80.0,87.0,44.0,84.0,24-25
192119,T. Courtois,Thibaut Nicolas Marc Courtois,24,Real Madrid,GK,90,,,,,,,24-25
238794,Vini Jr.,Vinícius José Paixão de Oliveira Júnior,24,Real Madrid,LW,89,95.0,82.0,78.0,90.0,29.0,68.0,24-25
192448,M. ter Stegen,Marc-André ter Stegen,24,FC Barcelona,GK,89,,,,,,,24-25
239053,F. Valverde,Federico Santiago Valverde Dipetta,24,Real Madrid,"CM, RW",88,88.0,82.0,84.0,84.0,80.0,82.0,24-25
194765,A. Griezmann,Antoine Griezmann,24,Atlético Madrid,"ST, CF",88,80.0,88.0,87.0,88.0,58.0,75.0,24-25
200389,J. Oblak,Jan Oblak,24,Atlético Madrid,GK,88,,,,,,,24-25
228702,F. de Jong,Frenkie de Jong,24,FC Barcelona,"CM, CDM",87,82.0,69.0,86.0,87.0,77.0,78.0,24-25
177003,L. Modrić,Luka Modrić,24,Real Madrid,CM,87,72.0,76.0,89.0,87.0,72.0,66.0,24-25
251854,Pedri,Pedro González López,24,FC Barcelona,CM,86,78.0,69.0,82.0,88.0,70.0,74.0,24-25
252371,J. Bellingham,Jude Victor William Bellingham,24,Real Madrid,"CM, CAM",86,76.0,78.0,80.0,85.0,78.0,82.0,24-25
253163,R. Araujo,Ronald Federico Araújo da Silva,24,FC Barcelona,"CB, RB",86,79.0,51.0,65.0,62.0,86.0,84.0,24-25
240130,Éder Militão,Éder Gabriel Militão,24,Real Madrid,CB,86,85.0,50.0,69.0,71.0,86.0,82.0,24-25
182521,T. Kroos,Toni Kroos,24,Real Madrid,"CM, CDM",86,51.0,80.0,90.0,81.0,70.0,71.0,24-25
186942,İ. Gündoğan,İlkay Gündoğan,24,FC Barcelona,"CM, CDM",86,62.0,81.0,84.0,86.0,72.0,73.0,24-25
189513,Parejo,Daniel Parejo Muñoz,24,Villarreal,"CM, CDM",86,49.0,83.0,90.0,80.0,73.0,69.0,24-25
210514,João Cancelo,João Pedro Cavaco Cancelo,24,FC Barcelona,"LB, RB",86,81.0,73.0,85.0,84.0,80.0,72.0,24-25
243812,Rodrygo,Rodrygo Silva de Goes,24,Real Madrid,"RW, LW, ST",85,88.0,81.0,79.0,86.0,31.0,62.0,24-25
241486,J. Koundé,Jules Koundé,24,FC Barcelona,"CB, RB",85,84.0,45.0,68.0,75.0,86.0,80.0,24-25
192629,Iago Aspas,Iago Aspas Juncal,24,Celta de Vigo,ST,85,81.0,85.0,79.0,86.0,35.0,64.0,24-25
197445,D. Alaba,David Olatukunbo Alaba,24,Real Madrid,"CB, LB",85,79.0,71.0,83.0,80.0,85.0,77.0,24-25
205452,A. Rüdiger,Antonio Rüdiger,24,Real Madrid,CB,85,82.0,54.0,71.0,66.0,84.0,86.0,24-25
224334,M. Acuña,Marcos Javier Acuña,24,Sevilla,"LB, LM",85,75.0,74.0,83.0,83.0,81.0,84.0,24-25
241637,A. Tchouaméni,Aurélien Tchouaméni,24,Real Madrid,"CDM, CM",84,73.0,69.0,79.0,78.0,81.0,81.0,24-25
227127,Álex Remiro,Alejandro Remiro Gargallo,24,Real Sociedad,GK,84,,,,,,,24-25
225193,Mikel Merino,Mikel Merino Zazón,24,Real Sociedad,"CM, CAM, LM",84,72.0,78.0,82.0,82.0,83.0,82.0,24-25
233419,Raphinha,Raphael Dias Belloli,24,FC Barcelona,RW,84,91.0,79.0,78.0,86.0,53.0,73.0,24-25
193747,Koke,Jorge Resurrección Merodio,24,Atlético Madrid,"CDM, CM",84,69.0,72.0,85.0,79.0,79.0,78.0,24-25
202556,M. Depay,Memphis Depay,24,Atlético Madrid,"CF, LW, ST",84,82.0,82.0,81.0,85.0,30.0,80.0,24-25
212616,R. De Paul,Rodrigo Javier De Paul,24,Atlético Madrid,CM,84,78.0,77.0,83.0,82.0,75.0,83.0,24-25
226161,Marcos Llorente,Marcos Llorente Moreno,24,Atlético Madrid,"RM, CM, RB",84,89.0,78.0,79.0,80.0,78.0,81.0,24-25
264240,Gavi,Pablo Martín Páez Gavira,24,FC Barcelona,"CM, LW",83,76.0,66.0,78.0,85.0,68.0,70.0,24-25
230869,Unai Simón,Unai Simón Mendibil,24,Athletic Club,GK,83,,,,,,,24-25
213661,A. Christensen,Andreas Bødtker Christensen,24,FC Barcelona,CB,83,67.0,32.0,68.0,71.0,85.0,76.0,24-25
