season,team,points,gf,ga,gd,sot_pg,games,strength,strength_score,team_key,overall,attack,midfield,defence
15-16,Ath Bilbao,62,58,45,13,4.29,38,43.48,54.5,Ath Bilbao,78.0,77.0,79.0,78.0
15-16,Ath Madrid,88,63,18,45,4.37,38,66.24,79.8,Ath Madrid,80.0,79.0,80.0,80.0
15-16,Barcelona,91,112,29,83,7.03,38,84.46000000000001,100.0,Barcelona,84.0,87.0,84.0,81.0
15-16,Betis,45,34,52,-18,3.29,38,23.68,32.5,Betis,71.0,71.0,71.0,70.0
15-16,Celta,60,51,59,-8,4.08,38,35.760000000000005,45.9,Celta,73.0,76.0,74.0,72.0
15-16,Eibar,43,49,61,-12,4.03,38,25.96,35.0,,77.7,78.4,77.7,77.0
15-16,Espanol,43,40,74,-34,3.79,38,18.880000000000003,27.1,,77.7,78.4,77.7,77.0
15-16,Getafe,36,37,67,-30,3.79,38,16.58,24.6,Getafe,72.0,72.0,72.0,72.0
15-16,Granada,39,46,69,-23,3.42,38,19.44,27.7,Granada,73.0,71.0,73.0,71.0
15-16,La Coruna,42,45,61,-16,4.11,38,24.42,33.3,,77.7,78.4,77.7,77.0
15-16,Las Palmas,44,45,53,-8,4.32,38,28.240000000000002,37.5,Las Palmas,68.0,70.0,68.0,67.0
15-16,Levante,32,37,70,-33,3.76,38,13.62,21.3,,77.7,78.4,77.7,77.0
15-16,Malaga,48,38,35,3,4.37,38,33.64,43.5,,77.7,78.4,77.7,77.0
15-16,Real Madrid,90,110,34,76,7.63,38,83.06,98.4,Real Madrid,84.0,86.0,85.0,81.0
15-16,Sevilla,52,51,50,1,4.79,38,35.88,46.0,Sevilla,78.0,79.0,77.0,78.0
15-16,Sociedad,48,45,48,-3,4.13,38,31.36,41.0,Sociedad,77.0,78.0,75.0,76.0
15-16,Sp Gijon,39,40,62,-22,3.21,38,19.32,27.6,,77.7,78.4,77.7,77.0
15-16,Valencia,44,46,48,-2,3.63,38,28.659999999999997,38.0,Valencia,78.0,79.0,77.0,76.0
15-16,Vallecano,38,52,73,-21,4.71,38,22.119999999999997,30.7,Vallecano,74.0,73.0,74.0,74.0
15-16,Villarreal,64,44,35,9,3.47,38,41.64,52.4,Villarreal,75.0,77.0,75.0,75.0
16-17,Alaves,55,41,43,-2,3.47,38,33.84,43.7,Alaves,67.0,69.0,66.0,68.0
16-17,Ath Bilbao,63,53,43,10,4.89,38,44.28,55.3,Ath Bilbao,79.0,79.0,79.0,78.0
16-17,Ath Madrid,78,70,27,43,5.21,38,62.32,75.4,Ath Madrid,81.0,81.0,80.0,81.0
16-17,Barcelona,90,116,37,79,7.05,38,82.80000000000001,98.2,Barcelona,84.0,90.0,85.0,82.0
16-17,Betis,39,41,64,-23,4.0,38,20.6,29.0,Betis,75.0,76.0,76.0,73.0
16-17,Celta,45,53,69,-16,3.89,38,25.48,34.5,Celta,76.0,78.0,73.0,75.0
16-17,Eibar,54,56,51,5,4.66,38,37.82,48.2,,77.7,78.4,77.7,77.0
16-17,Espanol,56,49,50,-1,3.39,38,34.48,44.5,,77.7,78.4,77.7,77.0
16-17,Granada,20,30,82,-52,3.26,38,0.9199999999999999,7.2,Granada,74.0,73.0,74.0,74.0
16-17,La Coruna,36,43,61,-18,3.82,38,20.240000000000002,28.6,,77.7,78.4,77.7,77.0
16-17,Las Palmas,39,53,74,-21,4.79,38,22.78,31.5,Las Palmas,73.0,76.0,72.0,72.0
16-17,Leganes,35,36,55,-19,3.47,38,18.740000000000002,27.0,,77.7,78.4,77.7,77.0
16-17,Malaga,46,49,55,-6,4.42,38,30.04,39.5,,77.7,78.4,77.7,77.0
16-17,Osasuna,22,40,94,-54,3.76,38,2.3200000000000003,8.7,Osasuna,67.0,64.0,65.0,67.0
16-17,Real Madrid,93,106,41,65,6.97,38,79.94,95.0,Real Madrid,84.0,85.0,84.0,82.0
16-17,Sevilla,72,69,49,20,5.21,38,52.42,64.4,Sevilla,79.0,80.0,80.0,79.0
16-17,Sociedad,64,59,53,6,4.39,38,42.58,53.5,Sociedad,77.0,78.0,77.0,77.0
16-17,Sp Gijon,31,42,72,-30,3.55,38,13.600000000000001,21.2,,77.7,78.4,77.7,77.0
16-17,Valencia,46,56,65,-9,4.45,38,29.200000000000003,38.6,Valencia,79.0,80.0,79.0,79.0
16-17,Villarreal,67,56,33,23,4.45,38,49.3,60.9,Villarreal,78.0,79.0,78.0,78.0
17-18,Alaves,47,40,50,-10,3.55,38,27.6,36.8,Alaves,74.0,74.0,74.0,74.0
17-18,Ath Bilbao,43,41,49,-8,4.05,38,27.200000000000003,36.4,Ath Bilbao,79.0,80.0,80.0,80.0
17-18,Ath Madrid,79,58,22,36,4.18,38,58.66,71.3,Ath Madrid,83.0,84.0,82.0,84.0
17-18,Barcelona,93,99,29,70,7.16,38,81.82,97.1,Barcelona,85.0,92.0,86.0,83.0
17-18,Betis,60,60,61,-1,4.34,38,38.379999999999995,48.8,Betis,77.0,79.0,76.0,75.0
17-18,Celta,49,59,60,-1,4.29,38,32.78,42.6,Celta,78.0,78.0,79.0,78.0
17-18,Eibar,51,44,50,-6,3.74,38,31.18,40.8,,77.7,78.4,77.7,77.0
17-18,Espanol,49,36,42,-6,3.58,38,29.86,39.3,,77.7,78.4,77.7,77.0
17-18,Getafe,55,42,33,9,3.55,38,37.3,47.6,Getafe,73.0,73.0,73.0,73.0
17-18,Girona,51,50,59,-9,4.11,38,31.020000000000003,40.6,Girona,70.0,71.0,71.0,71.0
17-18,La Coruna,29,38,76,-38,3.66,38,10.42,17.7,,77.7,78.4,77.7,77.0
17-18,Las Palmas,22,24,74,-50,3.37,38,2.740000000000001,9.2,Las Palmas,77.0,75.0,78.0,76.0
17-18,Leganes,43,34,51,-17,3.61,38,23.619999999999997,32.4,,77.7,78.4,77.7,77.0
17-18,Levante,46,44,58,-14,3.32,38,25.44,34.4,,77.7,78.4,77.7,77.0
17-18,Malaga,20,24,61,-37,3.08,38,5.0600000000000005,11.8,,77.7,78.4,77.7,77.0
17-18,Real Madrid,76,94,44,50,7.39,38,67.78,81.5,Real Madrid,86.0,88.0,86.0,86.0
17-18,Sevilla,58,49,58,-9,4.87,38,36.040000000000006,46.2,Sevilla,81.0,79.0,81.0,80.0
17-18,Sociedad,49,66,59,7,4.45,38,35.5,45.6,Sociedad,78.0,78.0,78.0,76.0
17-18,Valencia,73,65,38,27,4.92,38,54.440000000000005,66.6,Valencia,79.0,79.0,79.0,80.0
17-18,Villarreal,61,57,50,7,4.42,38,41.440000000000005,52.2,Villarreal,80.0,79.0,80.0,80.0
18-19,Alaves,50,39,50,-11,3.24,38,28.18,37.5,Alaves,75.0,70.0,75.0,74.0
18-19,Ath Bilbao,53,41,45,-4,3.66,38,32.620000000000005,42.4,Ath Bilbao,79.0,80.0,81.0,79.0
18-19,Ath Madrid,76,55,29,26,4.21,38,54.22,66.4,Ath Madrid,83.0,84.0,82.0,84.0
18-19,Barcelona,87,90,36,54,6.68,38,73.06,87.3,Barcelona,84.0,87.0,84.0,83.0
18-19,Betis,50,44,52,-8,4.45,38,31.5,41.1,Betis,77.0,77.0,78.0,75.0
18-19,Celta,41,53,62,-9,4.21,38,26.22,35.3,Celta,77.0,77.0,78.0,78.0
18-19,Eibar,47,46,50,-4,4.13,38,30.560000000000002,40.1,,77.7,78.4,77.7,77.0
18-19,Espanol,53,48,50,-2,4.24,38,34.38,44.3,,77.7,78.4,77.7,77.0
18-19,Getafe,59,48,35,13,3.37,38,40.14,50.7,Getafe,74.0,73.0,73.0,74.0
